estacion,hora,electricidad,transporte_carretera_ligero,transporte_carretera_pesado,industria_siderurgica
invierno,0,0.03136200716845877,0.01996007984031936,0.026619343389529714,0.043478260869565195
invierno,1,0.030465949820788523,0.014970059880239521,0.026619343389529714,0.043478260869565195
invierno,2,0.02956989247311827,0.00998003992015968,0.026619343389529714,0.05217391304347823
invierno,3,0.02867383512544802,0.006986027944111776,0.026619343389529714,0.05217391304347823
invierno,4,0.02956989247311827,0.00998003992015968,0.031055900621118,0.05217391304347823
invierno,5,0.03225806451612902,0.01996007984031936,0.035492457852706286,0.05217391304347823
invierno,6,0.03763440860215053,0.04491017964071856,0.04436557231588286,0.043478260869565195
invierno,7,0.04211469534050178,0.06986027944111776,0.048802129547471144,0.03478260869565216
invierno,8,0.04480286738351254,0.06487025948103793,0.05323868677905943,0.03478260869565216
invierno,9,0.043906810035842285,0.0499001996007984,0.05323868677905943,0.03478260869565216
invierno,10,0.04301075268817203,0.0499001996007984,0.05323868677905943,0.03478260869565216
invierno,11,0.04211469534050178,0.04491017964071856,0.05323868677905943,0.03478260869565216
invierno,12,0.04121863799283153,0.0499001996007984,0.05323868677905943,0.03478260869565216
invierno,13,0.04211469534050178,0.059880239520958084,0.05323868677905943,0.043478260869565195
invierno,14,0.04301075268817203,0.0499001996007984,0.05323868677905943,0.05217391304347823
invierno,15,0.043906810035842285,0.0499001996007984,0.05323868677905943,0.05217391304347823
invierno,16,0.04569892473118278,0.06487025948103793,0.05323868677905943,0.05217391304347823
invierno,17,0.049283154121863786,0.07984031936127745,0.048802129547471144,0.043478260869565195
invierno,18,0.053763440860215034,0.06986027944111776,0.04436557231588286,0.03478260869565216
invierno,19,0.05645161290322579,0.054890219560878244,0.03992901508429457,0.026086956521739115
invierno,20,0.054659498207885286,0.03992015968063872,0.035492457852706286,0.026086956521739115
invierno,21,0.05017921146953404,0.029940119760479042,0.031055900621118,0.03478260869565216
invierno,22,0.04480286738351254,0.0249500998003992,0.02839396628216503,0.043478260869565195
invierno,23,0.03942652329749102,0.01996007984031936,0.026619343389529714,0.043478260869565195
primavera,0,0.030888030888030875,0.019292604501607715,0.025974025974025962,0.04255319148936169
primavera,1,0.029922779922779908,0.015005359056806004,0.025974025974025962,0.04255319148936169
primavera,2,0.028957528957528945,0.009646302250803858,0.025974025974025962,0.04680851063829785
primavera,3,0.02799227799227798,0.006430868167202573,0.025974025974025962,0.04680851063829785
primavera,4,0.028957528957528945,0.009646302250803858,0.03061224489795917,0.04680851063829785
primavera,5,0.03185328185328184,0.019292604501607715,0.035250463821892376,0.04680851063829785
primavera,6,0.03667953667953666,0.042872454448017155,0.04452690166975879,0.04255319148936169
primavera,7,0.041505791505791485,0.06966773847802787,0.048237476808905354,0.03829787234042552
primavera,8,0.045366795366795346,0.06430868167202572,0.05380333951762521,0.03829787234042552
primavera,9,0.04633204633204631,0.051446945337620585,0.05380333951762521,0.03829787234042552
primavera,10,0.04633204633204631,0.051446945337620585,0.05380333951762521,0.03829787234042552
primavera,11,0.045366795366795346,0.04608788853161844,0.05380333951762521,0.03829787234042552
primavera,12,0.04440154440154438,0.048231511254019296,0.05380333951762521,0.03829787234042552
primavera,13,0.04440154440154438,0.058949624866023585,0.05380333951762521,0.04255319148936169
primavera,14,0.04343629343629341,0.053590568060021444,0.05380333951762521,0.04680851063829785
primavera,15,0.04440154440154438,0.053590568060021444,0.05380333951762521,0.04680851063829785
primavera,16,0.045366795366795346,0.06430868167202572,0.05380333951762521,0.04680851063829785
primavera,17,0.0492277992277992,0.0782422293676313,0.049165120593692,0.04255319148936169
primavera,18,0.053088803088803066,0.06966773847802787,0.04452690166975879,0.03829787234042552
primavera,19,0.05501930501930499,0.053590568060021444,0.039888682745825584,0.03404255319148935
primavera,20,0.053088803088803066,0.040728831725616296,0.035250463821892376,0.03404255319148935
primavera,21,0.04826254826254824,0.030010718113612007,0.03061224489795917,0.03829787234042552
primavera,22,0.04247104247104245,0.024651661307609863,0.027829313543599243,0.04255319148936169
primavera,23,0.03667953667953666,0.019292604501607715,0.025974025974025962,0.04255319148936169
verano,0,0.029013539651837516,0.01788908765652952,0.02183406113537119,0.04405286343612333
verano,1,0.028046421663442934,0.013416815742397139,0.02183406113537119,0.04405286343612333
verano,2,0.02707930367504835,0.00894454382826476,0.02183406113537119,0.04405286343612333
verano,3,0.026112185686653765,0.008050089445438283,0.02183406113537119,0.04405286343612333
verano,4,0.02707930367504835,0.012522361359570664,0.026200873362445424,0.048458149779735664
verano,5,0.0299806576402321,0.0223613595706619,0.030567685589519666,0.05286343612334799
verano,6,0.034816247582205015,0.0447227191413238,0.03930131004366814,0.05286343612334799
verano,7,0.040618955512572524,0.0670840787119857,0.04803493449781661,0.04405286343612333
verano,8,0.04545454545454544,0.06261180679785332,0.05240174672489085,0.03524229074889867
verano,9,0.05029013539651836,0.053667262969588556,0.05676855895196509,0.030837004405286333
verano,10,0.053191489361702114,0.053667262969588556,0.05676855895196509,0.030837004405286333
verano,11,0.0541586073500967,0.049194991055456175,0.05676855895196509,0.030837004405286333
verano,12,0.055125725338491284,0.049194991055456175,0.05676855895196509,0.030837004405286333
verano,13,0.05609284332688587,0.058139534883720936,0.05676855895196509,0.03524229074889867
verano,14,0.05609284332688587,0.049194991055456175,0.05676855895196509,0.04405286343612333
verano,15,0.055125725338491284,0.049194991055456175,0.05676855895196509,0.048458149779735664
verano,16,0.053191489361702114,0.06261180679785332,0.05676855895196509,0.05286343612334799
verano,17,0.051257253384912944,0.07602862254025046,0.05240174672489085,0.048458149779735664
verano,18,0.0483558994197292,0.0670840787119857,0.04803493449781661,0.04405286343612333
verano,19,0.04352030947775627,0.053667262969588556,0.04366812227074238,0.039647577092510995
verano,20,0.038684719535783355,0.04025044722719141,0.03930131004366814,0.03524229074889867
verano,21,0.034816247582205015,0.03130590339892666,0.030567685589519666,0.03524229074889867
verano,22,0.03191489361702127,0.026833631484794278,0.026200873362445424,0.039647577092510995
verano,23,0.0299806576402321,0.0223613595706619,0.02183406113537119,0.04405286343612333
otono,0,0.030612244897959176,0.019230769230769225,0.026291931097008166,0.043478260869565195
otono,1,0.029684601113172535,0.01518218623481781,0.026291931097008166,0.043478260869565195
otono,2,0.02875695732838589,0.009109311740890686,0.026291931097008166,0.05217391304347823
otono,3,0.02782931354359925,0.007085020242914978,0.026291931097008166,0.05217391304347823
otono,4,0.02875695732838589,0.010121457489878541,0.030825022665457853,0.05217391304347823
otono,5,0.03153988868274582,0.020242914979757082,0.035358114233907535,0.05217391304347823
otono,6,0.03617810760667903,0.04352226720647772,0.0444242973708069,0.043478260869565195
otono,7,0.040816326530612235,0.06882591093117407,0.04895738893925658,0.03478260869565216
otono,8,0.044526901669758805,0.06376518218623481,0.053490480507706266,0.03478260869565216
otono,9,0.04545454545454544,0.050607287449392704,0.053490480507706266,0.03478260869565216
otono,10,0.04545454545454544,0.050607287449392704,0.053490480507706266,0.03478260869565216
otono,11,0.044526901669758805,0.04554655870445343,0.053490480507706266,0.03478260869565216
otono,12,0.044526901669758805,0.04757085020242914,0.053490480507706266,0.03478260869565216
otono,13,0.04545454545454544,0.05769230769230768,0.053490480507706266,0.043478260869565195
otono,14,0.044526901669758805,0.052631578947368404,0.053490480507706266,0.05217391304347823
otono,15,0.044526901669758805,0.052631578947368404,0.053490480507706266,0.05217391304347823
otono,16,0.046382189239332086,0.06578947368421051,0.053490480507706266,0.05217391304347823
otono,17,0.049165120593692005,0.07894736842105261,0.04895738893925658,0.043478260869565195
otono,18,0.052875695732838575,0.07085020242914979,0.0444242973708069,0.03478260869565216
otono,19,0.054730983302411856,0.055668016194331975,0.039891205802357214,0.026086956521739115
otono,20,0.052875695732838575,0.040485829959514164,0.035358114233907535,0.026086956521739115
otono,21,0.049165120593692005,0.03036437246963562,0.030825022665457853,0.03478260869565216
otono,22,0.04359925788497216,0.0242914979757085,0.02810516772438804,0.043478260869565195
otono,23,0.03803339517625231,0.019230769230769225,0.026291931097008166,0.043478260869565195
