tecnologia,tipo,vector,eficiencia,vida_util,costo_inicial,costo_om,costo_om_variable,emisiones_unitarias,vector_consumido,ratio_energia,aporta_inercia,tasa_aprendizaje,tasa_autodescarga
solar_pv,generacion,electricidad,0.2,25,1365000,18390,0.0,0.0,,,0.0,0.21,
eolica,generacion,electricidad,0.35,25,1353000,30060,0.0,0.0,,,0.0,0.07,
hidrogeno_verde,gen_h2,hidrogeno,0.7,15,1200000,24000,1.0,0.0,,,,0.10,
ciclo_combinado,generacion,electricidad,1,30,789000,11000,3.1,0.4,gas,0.55,1.0,0.02,
nuclear,generacion,electricidad,0.33,40,7146000,142000,2.5,0.0,,,1.0,0.01,
hidraulica,generacion,electricidad,0.9,80,6430000,30500,0.0,0.0,,,1.0,0.01,
carbon,generacion,electricidad,0.4,35,3730000,40000,4.0,0.8,,,1.0,0.01,
bateria,almacenamiento,electricidad,0.9,15,1585000,36000,0.25,0.0,electricidad,0.9,0.0,0.15,0.05
solar_termica,generacion,electricidad,0.3,30,5455000,55000,2.5,0.0,,,1.0,0.25,
hidroeolica,generacion,electricidad,0.35,30,1800000,30000,3.0,0.0,,,0.5,0.06,
bombeo,almacenamiento,electricidad,1,50,1364000,20000,0.25,0.0,electricidad,0.8,1.0,0.02,0.00
almacen_h2,almacenamiento,electricidad,1,30,1000000,20000,0.5,0.0,electricidad,0.7,0.0,0.09,0.0001
import_gasolina,importacion,gasolina,1.0,100,10000,25000,0.05,0.27,,,,0.00,
import_diesel,importacion,diesel,1.0,100,10000,250000,0.05,0.26,,,,0.00,
import_electricidad,importacion,electricidad,1.0,100,10000,700000,0.5,0.1,,1.0,1.00,0.00,
import_gas,importacion,gas,1.0,100,10000,160000,0.1,0.19,,,,0.00,
import_fueloleo,importacion,fueloleo,1.0,100,10000,980000,0.1,0.3,,,,0.00,
import_h2,importacion,hidrogeno,1.0,100,10000,1403000,0.1,0.1,,,,0.00,
import_metanol,importacion,metanol,1.0,100,10000,525000,0.1,0.25,,,,0.00,
biomasa,generacion,electricidad,0.3,30,3000000,60000,5.0,0.05,,,1.0,0.07,
hidrogeno_gris,gen_h2,hidrogeno,1,30,700000,20000,1.5,0.9,gas,0.7,,0.02,
hidrogeno_electrico,gen_h2,hidrogeno,1,15,1200000,24000,1.0,0.2,electricidad,0.7,,0.17,
coche_gasolina,transporte_carretera_ligero,transporte_carretera_ligero,1,15,30000,800,0.10,0.27,gasolina,0.25,,0.01,
coche_diesel,transporte_carretera_ligero,transporte_carretera_ligero,1,15,35000,900,0.09,0.26,diesel,0.3,,0.01,
coche_electrico,transporte_carretera_ligero,transporte_carretera_ligero,1,15,62709,700,0.10,0.0,electricidad,0.8,,0.10,
coche_hidrogeno,transporte_carretera_ligero,transporte_carretera_ligero,1,15,48100,900,0.20,0.0,hidrogeno,0.6,,0.09,
camion_gasolina,transporte_carretera_pesado,transporte_carretera_pesado,1,12,150000,5000,0.2,0.27,gasolina,0.35,,0.01,
camion_diesel,transporte_carretera_pesado,transporte_carretera_pesado,1,12,116230,6000,0.18,0.26,diesel,0.4,,0.01,
camion_electrico,transporte_carretera_pesado,transporte_carretera_pesado,1,12,272800,8000,0.10,0.0,electricidad,0.85,,0.08,
camion_hidrogeno,transporte_carretera_pesado,transporte_carretera_pesado,1,12,318000,9000,0.20,0.0,hidrogeno,0.5,,0.08,
camion_gas,transporte_carretera_pesado,transporte_carretera_pesado,1,12,160000,6000,0.19,0.2,gas,0.4,,0.01,
barco_fueloleo,transporte_mar,transporte_mar,1,25,82000000,3000000,0.4,0.3,fueloleo,0.46,,0.01,
barco_diesel,transporte_mar,transporte_mar,1,25,82000000,3000000,0.38,0.26,diesel,0.46,,0.01,
barco_gas,transporte_mar,transporte_mar,1,25,87000000,3100000,0.32,0.19,gas,0.48,,0.01,
barco_hidrogeno,transporte_mar,transporte_mar,1,25,110000000,3500000,0.15,0.0,hidrogeno,0.55,,0.07,
barco_metanol,transporte_mar,transporte_mar,1,25,90000000,3200000,0.28,0.21,metanol,0.46,,0.05,
barco_amoniaco,transporte_mar,transporte_mar,1,25,100000000,3300000,0.18,0.0,amoniaco,0.4,,0.06,
prod_nh3_h2_verde,industria_amoniaco,amoniaco,1,25,1800000,40000,20.0,0.0,hidrogeno,0.65,,0.08,
prod_nh3_h2_elect,industria_amoniaco,amoniaco,1,25,1700000,38000,18.0,0.0,electricidad,0.65,,0.07,
prod_nh3_h2_gris,industria_amoniaco,amoniaco,1,25,1200000,30000,15.0,1.8,carbon,0.65,,0.02,
prod_ch4_h2_verde,industria_metano,industria_metano,1,25,2100000,42000,22.0,0.0,hidrogeno,0.6,,0.09,
prod_ch4_h2_elect,industria_metano,industria_metano,1,25,2000000,40000,20.0,0.0,electricidad,0.6,,0.08,
prod_ch3oh_h2_verde,industria_metanol,metanol,1,25,3570000,50000,25.0,0.0,hidrogeno,0.72,,0.10,
prod_ch3oh_h2_elect,industria_metanol,metanol,1,25,3400000,48000,23.0,0.0,electricidad,0.72,,0.09,
prod_ch3oh_h2_gris,industria_metanol,metanol,1,25,2500000,45000,20.0,1.1,carbon,0.72,,0.03,
siderurgia_h2,industria_siderurgica,industria_siderurgica,1,40,2000000,60000,30.0,0.0,hidrogeno,0.7,,0.07,
siderurgia_coque,industria_siderurgica,industria_siderurgica,1,40,1500000,55000,28.0,2.2,carbon,0.4,,0.01,
siderurgia_electricidad,industria_siderurgica,industria_siderurgica,1,40,1800000,57000,25.0,0.0,electricidad,0.85,,0.02,
siderurgia_gas,industria_siderurgica,industria_siderurgica,1,40,1600000,56000,28.0,1.5,gas,0.45,,0.02,
cemento_h2,industria_cemento,industria_cemento,1,30,1200000,45000,25.0,0.0,hidrogeno,0.45,,0.08,
cemento_carbon,industria_cemento,industria_cemento,1,30,1000000,42000,22.0,0.9,carbon,0.4,,0.01,
cemento_electricidad,industria_cemento,industria_cemento,1,30,1400000,48000,26.0,0.0,electricidad,0.6,,0.04,
cemento_gas,industria_cemento,industria_cemento,1,30,1100000,44000,24.0,0.6,gas,0.45,,0.02,
import_carbon,importacion,carbon,1.0,100,10000,500000,0.1,0.8,,,,0.00,
